File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,73964f4a89a1411c576f1ebc814a488d,13774845,16610509
BuiltInStandalonePlugins.zip,41e9b24184ec98c3387147f04f99bacc,1533402,1849743
Plugins.zip,2f7f7cd00f289e5fbdc18b2e5f8b6ff9,696532,1479168
Qml.zip,4760d3124a9ace363730ff592f75a18b,1593181,4422016
RobloxStudio.zip,933a9c7c044a867110ee5826aa5a8160,30808909,64757837
Libraries.zip,ef384b8db0410fdc49b97d3d5f3258a7,9215240,23426624
LibrariesQt5.zip,a8d506197124662acc0078450240f06d,31872580,79163904
content-avatar.zip,5b73a544408c532dbe6687ee0d2b865b,197165,929684
content-configs.zip,f176a6eaf94f193257df13ba84ecc028,13716,40228
content-fonts.zip,d5d6c96cbfca674fb5158f230992b82c,5699419,11635222
content-models.zip,f1e3ff51828b47d987e44c04c610823b,166328,696151
content-qt_translations.zip,cee76b7f244165538bc51748f6abf855,249285,815789
content-sky.zip,208e84b59eef3492b82348f2273b94ba,37127,297162
content-sounds.zip,646aad2cb0671edc8e74f51ae3869492,344428,363670
shaders.zip,1c3ca1358bf6e191b5bbecf45cf8dbc4,1934588,14053611
ssl.zip,1578716aa8817aa674635e6d52b709f6,120403,211303
content-textures2.zip,c39372e56f232dbecbcb59de166e9068,7011302,7890444
content-textures3.zip,efadbc45535cfcf23d5276124f985788,28467988,46537508
content-terrain.zip,a296230df711a111454b57f5e5102fce,31002108,42654892
content-platform-fonts.zip,eb2b915040be2efd14bcb894a52f07a5,13686751,16427228
extracontent-scripts.zip,2385a6ce6d9b5ec2bf7a86c300e9e241,1705649,5124251
extracontent-luapackages.zip,4bd6d5110f01264ddd7df1cd372586ec,3183004,6042197
extracontent-translations.zip,ab3f1d2dc73313a8c94cad595f7f5325,110869,410692
extracontent-models.zip,1b4bf2d5211a4d347d824c23f6c42934,2101319,2533148
extracontent-textures.zip,eddbe6971d809493d8658dd7a8bd5c95,6614842,6662986
redist.zip,1b4efa233a27aa865cef90e179a0b87c,2014690,4842240
